year,destination,origin,refugees_value,ac_value
2014,Papua New Guinea,Syrian Arab Rep.,0,0
2014,Paraguay,Syrian Arab Rep.,7,7
2004,Peru,Syrian Arab Rep.,0,0
2005,Peru,Syrian Arab Rep.,0,0
2008,Peru,Syrian Arab Rep.,0,0
2013,Peru,Syrian Arab Rep.,3,3
2014,Peru,Syrian Arab Rep.,20,23
2011,Philippines,Syrian Arab Rep.,0,0
2012,Philippines,Syrian Arab Rep.,0,0
2013,Philippines,Syrian Arab Rep.,7,7
2014,Philippines,Syrian Arab Rep.,19,26
2004,Poland,Syrian Arab Rep.,4,4
2005,Poland,Syrian Arab Rep.,6,10
2006,Poland,Syrian Arab Rep.,7,17
2007,Poland,Syrian Arab Rep.,8,25
2008,Poland,Syrian Arab Rep.,8,33
2009,Poland,Syrian Arab Rep.,8,41
2010,Poland,Syrian Arab Rep.,8,49
2011,Poland,Syrian Arab Rep.,10,59
2012,Poland,Syrian Arab Rep.,17,76
2013,Poland,Syrian Arab Rep.,108,184
2014,Poland,Syrian Arab Rep.,240,424
2011,Portugal,Syrian Arab Rep.,0,0
2012,Portugal,Syrian Arab Rep.,0,0
2013,Portugal,Syrian Arab Rep.,14,14
2014,Portugal,Syrian Arab Rep.,15,29
2004,Qatar,Syrian Arab Rep.,0,0
2005,Qatar,Syrian Arab Rep.,0,0
2006,Qatar,Syrian Arab Rep.,0,0
2007,Qatar,Syrian Arab Rep.,0,0
2008,Qatar,Syrian Arab Rep.,7,7
2009,Qatar,Syrian Arab Rep.,7,14
2010,Qatar,Syrian Arab Rep.,8,22
2011,Qatar,Syrian Arab Rep.,8,30
2012,Qatar,Syrian Arab Rep.,8,38
2013,Qatar,Syrian Arab Rep.,8,46
2014,Qatar,Syrian Arab Rep.,14,60
2011,South Korea,Syrian Arab Rep.,0,0
2012,South Korea,Syrian Arab Rep.,0,0
2013,South Korea,Syrian Arab Rep.,0,0
2014,South Korea,Syrian Arab Rep.,503,503
2004,Rep. of Moldova,Syrian Arab Rep.,0,0
2005,Rep. of Moldova,Syrian Arab Rep.,8,8
2006,Rep. of Moldova,Syrian Arab Rep.,17,25
2007,Rep. of Moldova,Syrian Arab Rep.,11,36
2008,Rep. of Moldova,Syrian Arab Rep.,12,48
2009,Rep. of Moldova,Syrian Arab Rep.,10,58
2010,Rep. of Moldova,Syrian Arab Rep.,10,68
2011,Rep. of Moldova,Syrian Arab Rep.,11,79
2012,Rep. of Moldova,Syrian Arab Rep.,55,134
2013,Rep. of Moldova,Syrian Arab Rep.,139,273
2014,Rep. of Moldova,Syrian Arab Rep.,186,459
2004,Romania,Syrian Arab Rep.,21,21
2005,Romania,Syrian Arab Rep.,24,45
2006,Romania,Syrian Arab Rep.,28,73
2007,Romania,Syrian Arab Rep.,29,102
2008,Romania,Syrian Arab Rep.,25,127
2009,Romania,Syrian Arab Rep.,19,146
2010,Romania,Syrian Arab Rep.,21,167
2011,Romania,Syrian Arab Rep.,20,187
2012,Romania,Syrian Arab Rep.,152,339
2013,Romania,Syrian Arab Rep.,932,1271
2014,Romania,Syrian Arab Rep.,1278,2549
2007,Russia,Syrian Arab Rep.,1,1
2008,Russia,Syrian Arab Rep.,2,3
2009,Russia,Syrian Arab Rep.,4,7
2010,Russia,Syrian Arab Rep.,5,12
2011,Russia,Syrian Arab Rep.,4,16
2012,Russia,Syrian Arab Rep.,53,69
2013,Russia,Syrian Arab Rep.,1163,1232
2014,Russia,Syrian Arab Rep.,1927,3159
2013,Saint Lucia,Syrian Arab Rep.,1,1
2014,Saint Lucia,Syrian Arab Rep.,0,1
2004,Saudi Arabia,Syrian Arab Rep.,5,5
2005,Saudi Arabia,Syrian Arab Rep.,5,10
2006,Saudi Arabia,Syrian Arab Rep.,5,15
2007,Saudi Arabia,Syrian Arab Rep.,5,20
2008,Saudi Arabia,Syrian Arab Rep.,14,34
2009,Saudi Arabia,Syrian Arab Rep.,14,48
2010,Saudi Arabia,Syrian Arab Rep.,14,62
2011,Saudi Arabia,Syrian Arab Rep.,14,76
2012,Saudi Arabia,Syrian Arab Rep.,14,90
2013,Saudi Arabia,Syrian Arab Rep.,14,104
2014,Saudi Arabia,Syrian Arab Rep.,18,122
2013,Senegal,Syrian Arab Rep.,0,0
2014,Senegal,Syrian Arab Rep.,0,0
2012,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,0,0
2013,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,3,3
2014,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,6,9
2004,Slovakia,Syrian Arab Rep.,0,0
2005,Slovakia,Syrian Arab Rep.,0,0
2006,Slovakia,Syrian Arab Rep.,0,0
2007,Slovakia,Syrian Arab Rep.,13,13
2008,Slovakia,Syrian Arab Rep.,14,27
2009,Slovakia,Syrian Arab Rep.,20,47
2010,Slovakia,Syrian Arab Rep.,22,69
2011,Slovakia,Syrian Arab Rep.,23,92
2012,Slovakia,Syrian Arab Rep.,24,116
2013,Slovakia,Syrian Arab Rep.,26,142
2014,Slovakia,Syrian Arab Rep.,40,182
2011,Slovenia,Syrian Arab Rep.,0,0
2012,Slovenia,Syrian Arab Rep.,2,2
2013,Slovenia,Syrian Arab Rep.,9,11
2014,Slovenia,Syrian Arab Rep.,20,31
2013,Somalia,Syrian Arab Rep.,0,0
2014,Somalia,Syrian Arab Rep.,0,0
2012,South Africa,Syrian Arab Rep.,2,2
2013,South Africa,Syrian Arab Rep.,8,10
2014,South Africa,Syrian Arab Rep.,28,38
2013,South Sudan,Syrian Arab Rep.,0,38
2014,South Sudan,Syrian Arab Rep.,0,38
2004,Spain,Syrian Arab Rep.,21,21
2005,Spain,Syrian Arab Rep.,21,42
2006,Spain,Syrian Arab Rep.,21,63
2007,Spain,Syrian Arab Rep.,21,84
2008,Spain,Syrian Arab Rep.,34,118
2009,Spain,Syrian Arab Rep.,33,151
2010,Spain,Syrian Arab Rep.,35,186
2011,Spain,Syrian Arab Rep.,32,218
2012,Spain,Syrian Arab Rep.,32,250
2013,Spain,Syrian Arab Rep.,180,430
2014,Spain,Syrian Arab Rep.,1336,1766
2011,Sri Lanka,Syrian Arab Rep.,1,1
2012,Sri Lanka,Syrian Arab Rep.,1,2
2014,Sri Lanka,Syrian Arab Rep.,0,2
2004,Sudan,Syrian Arab Rep.,1,1
2005,Sudan,Syrian Arab Rep.,1,2
2012,Sudan,Syrian Arab Rep.,0,2
2013,Sudan,Syrian Arab Rep.,84,86
2014,Sudan,Syrian Arab Rep.,797,883
2004,Sweden,Syrian Arab Rep.,940,940
2005,Sweden,Syrian Arab Rep.,1032,1972
2006,Sweden,Syrian Arab Rep.,1065,3037
2007,Sweden,Syrian Arab Rep.,1081,4118
2008,Sweden,Syrian Arab Rep.,1084,5202
2009,Sweden,Syrian Arab Rep.,1118,6320
2010,Sweden,Syrian Arab Rep.,1169,7489
2011,Sweden,Syrian Arab Rep.,1206,8695
2012,Sweden,Syrian Arab Rep.,6051,14746
2013,Sweden,Syrian Arab Rep.,17984,32730
2014,Sweden,Syrian Arab Rep.,34285,67015
2004,Switzerland,Syrian Arab Rep.,179,179
2005,Switzerland,Syrian Arab Rep.,294,473
2006,Switzerland,Syrian Arab Rep.,388,861
2007,Switzerland,Syrian Arab Rep.,430,1291
2008,Switzerland,Syrian Arab Rep.,626,1917
2009,Switzerland,Syrian Arab Rep.,661,2578
2010,Switzerland,Syrian Arab Rep.,694,3272
2011,Switzerland,Syrian Arab Rep.,1074,4346
2012,Switzerland,Syrian Arab Rep.,1391,5737
2013,Switzerland,Syrian Arab Rep.,2012,7749
2014,Switzerland,Syrian Arab Rep.,5161,12910
2004,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2005,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2006,Syrian Arab Rep.,Syrian Arab Rep.,1,1
2007,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2008,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2009,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2010,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2011,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2012,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2013,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2014,Syrian Arab Rep.,Syrian Arab Rep.,0,1
2005,Thailand,Syrian Arab Rep.,1,1
2006,Thailand,Syrian Arab Rep.,1,2
2007,Thailand,Syrian Arab Rep.,2,4
2008,Thailand,Syrian Arab Rep.,1,5
2009,Thailand,Syrian Arab Rep.,0,5
2010,Thailand,Syrian Arab Rep.,0,5
2011,Thailand,Syrian Arab Rep.,0,5
2012,Thailand,Syrian Arab Rep.,10,15
2013,Thailand,Syrian Arab Rep.,44,59
2014,Thailand,Syrian Arab Rep.,82,141
2010,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,0,0
2012,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,0,0
2013,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,0,0
2014,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,11,11
2011,Togo,Syrian Arab Rep.,1,1
2012,Togo,Syrian Arab Rep.,1,2
2013,Togo,Syrian Arab Rep.,0,2
2014,Togo,Syrian Arab Rep.,0,2
2013,Trinidad and Tobago,Syrian Arab Rep.,1,1
2014,Trinidad and Tobago,Syrian Arab Rep.,8,9
2004,Tunisia,Syrian Arab Rep.,5,5
2005,Tunisia,Syrian Arab Rep.,5,10
2006,Tunisia,Syrian Arab Rep.,5,15
2007,Tunisia,Syrian Arab Rep.,5,20
2008,Tunisia,Syrian Arab Rep.,5,25
2009,Tunisia,Syrian Arab Rep.,5,30
2010,Tunisia,Syrian Arab Rep.,5,35
2011,Tunisia,Syrian Arab Rep.,11,46
2012,Tunisia,Syrian Arab Rep.,6,52
2013,Tunisia,Syrian Arab Rep.,164,216
2014,Tunisia,Syrian Arab Rep.,558,774
2004,Turkey,Syrian Arab Rep.,0,0
2005,Turkey,Syrian Arab Rep.,12,12
2006,Turkey,Syrian Arab Rep.,2,14
2007,Turkey,Syrian Arab Rep.,5,19
2008,Turkey,Syrian Arab Rep.,12,31
2009,Turkey,Syrian Arab Rep.,8,39
2010,Turkey,Syrian Arab Rep.,9,48
2011,Turkey,Syrian Arab Rep.,19,67
2012,Turkey,Syrian Arab Rep.,248466,248533
2013,Turkey,Syrian Arab Rep.,585601,834134
2014,Turkey,Syrian Arab Rep.,1557899,2392033
2012,Uganda,Syrian Arab Rep.,0,0
2013,Uganda,Syrian Arab Rep.,0,0
2014,Uganda,Syrian Arab Rep.,0,0
2004,Ukraine,Syrian Arab Rep.,40,40
2005,Ukraine,Syrian Arab Rep.,39,79
2006,Ukraine,Syrian Arab Rep.,37,116
2007,Ukraine,Syrian Arab Rep.,36,152
2008,Ukraine,Syrian Arab Rep.,39,191
2009,Ukraine,Syrian Arab Rep.,42,233
2010,Ukraine,Syrian Arab Rep.,42,275
2011,Ukraine,Syrian Arab Rep.,43,318
2012,Ukraine,Syrian Arab Rep.,63,381
2013,Ukraine,Syrian Arab Rep.,167,548
2014,Ukraine,Syrian Arab Rep.,341,889
2004,United Arab Emirates,Syrian Arab Rep.,34,34
2005,United Arab Emirates,Syrian Arab Rep.,34,68
2006,United Arab Emirates,Syrian Arab Rep.,71,139
2007,United Arab Emirates,Syrian Arab Rep.,30,169
2008,United Arab Emirates,Syrian Arab Rep.,21,190
2009,United Arab Emirates,Syrian Arab Rep.,21,211
2010,United Arab Emirates,Syrian Arab Rep.,34,245
2011,United Arab Emirates,Syrian Arab Rep.,37,282
2012,United Arab Emirates,Syrian Arab Rep.,16,298
2013,United Arab Emirates,Syrian Arab Rep.,16,314
2014,United Arab Emirates,Syrian Arab Rep.,28,342
2004,United Kingdom,Syrian Arab Rep.,44,44
2005,United Kingdom,Syrian Arab Rep.,208,252
2006,United Kingdom,Syrian Arab Rep.,286,538
2007,United Kingdom,Syrian Arab Rep.,364,902
2008,United Kingdom,Syrian Arab Rep.,395,1297
2009,United Kingdom,Syrian Arab Rep.,460,1757
2010,United Kingdom,Syrian Arab Rep.,499,2256
2011,United Kingdom,Syrian Arab Rep.,693,2949
2012,United Kingdom,Syrian Arab Rep.,1717,4666
2013,United Kingdom,Syrian Arab Rep.,3169,7835
2014,United Kingdom,Syrian Arab Rep.,4572,12407
2012,United Rep. of Tanzania,Syrian Arab Rep.,0,0
2013,United Rep. of Tanzania,Syrian Arab Rep.,0,0
2004,United States,Syrian Arab Rep.,197,197
2005,United States,Syrian Arab Rep.,150,347
2006,United States,Syrian Arab Rep.,423,770
2007,United States,Syrian Arab Rep.,344,1114
2008,United States,Syrian Arab Rep.,320,1434
2009,United States,Syrian Arab Rep.,341,1775
2010,United States,Syrian Arab Rep.,312,2087
2011,United States,Syrian Arab Rep.,373,2460
2012,United States,Syrian Arab Rep.,1425,3885
2013,United States,Syrian Arab Rep.,3802,7687
2014,United States,Syrian Arab Rep.,4750,12437
2013,Uruguay,Syrian Arab Rep.,0,0
2014,Uruguay,Syrian Arab Rep.,48,48
2004,Uzbekistan,Syrian Arab Rep.,0,48
2005,Uzbekistan,Syrian Arab Rep.,0,48
2007,Uzbekistan,Syrian Arab Rep.,1,49
2008,Uzbekistan,Syrian Arab Rep.,1,50
2014,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,0,0
2004,Yemen,Syrian Arab Rep.,25,25
2005,Yemen,Syrian Arab Rep.,25,50
2006,Yemen,Syrian Arab Rep.,25,75
2007,Yemen,Syrian Arab Rep.,32,107
2008,Yemen,Syrian Arab Rep.,32,139
2009,Yemen,Syrian Arab Rep.,40,179
2010,Yemen,Syrian Arab Rep.,52,231
2011,Yemen,Syrian Arab Rep.,42,273
2012,Yemen,Syrian Arab Rep.,42,315
2013,Yemen,Syrian Arab Rep.,54,369
2014,Yemen,Syrian Arab Rep.,2276,2645
2013,Zambia,Syrian Arab Rep.,0,0
2014,Zambia,Syrian Arab Rep.,0,0
